"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWH"
"03/09/2015 16:00","MILLWD",61759,51.27,2.97,-19.46
"03/09/2015 16:00","N.Y.C.",61761,51.34,3.12,-19.39
"03/09/2015 16:00","NORTH",61755,28.06,-0.78,0.00
"03/09/2015 16:00","NPX",61845,54.18,2.42,-22.92
"03/09/2015 16:00","O H",61846,30.00,-2.48,-3.64
"03/09/2015 16:00","PJM",61847,42.05,0.52,-12.69
"03/09/2015 16:00","WEST",61752,30.51,-1.87,-3.55
"03/09/2015 17:00","CAPITL",61757,62.54,2.22,-28.07
"03/09/2015 17:00","CENTRL",61754,35.79,-0.13,-3.67
"03/09/2015 17:00","DUNWOD",61760,56.99,3.32,-21.42
"03/09/2015 17:00","GENESE",61753,34.04,-1.19,-2.99
"03/09/2015 17:00","H Q",61844,31.41,-0.84,0.00
"03/09/2015 17:00","HUD VL",61758,56.19,3.06,-20.89
"03/09/2015 17:00","LONGIL",61762,57.67,4.00,-21.43
"03/09/2015 17:00","MHK VL",61756,36.88,1.06,-3.57
"03/09/2015 17:00","MILLWD",61759,57.14,3.38,-21.51
"03/09/2015 17:00","N.Y.C.",61761,57.19,3.52,-21.43
"03/09/2015 17:00","NORTH",61755,31.28,-0.97,0.00
"03/09/2015 17:00","NPX",61845,63.90,2.74,-28.92
"03/09/2015 17:00","O H",61846,33.66,-2.61,-4.03
"03/09/2015 17:00","PJM",61847,46.98,0.71,-14.03
"03/09/2015 17:00","WEST",61752,34.23,-1.93,-3.92
"03/09/2015 18:00","CAPITL",61757,78.52,2.10,-46.02
"03/09/2015 18:00","CENTRL",61754,36.27,-0.15,-6.02
"03/09/2015 18:00","DUNWOD",61760,68.66,3.13,-35.12
"03/09/2015 18:00","GENESE",61753,34.02,-1.28,-4.89
"03/09/2015 18:00","H Q",61844,30.34,-0.76,-0.70
"03/09/2015 18:00","HUD VL",61758,67.50,2.86,-34.24
"03/09/2015 18:00","LONGIL",61762,69.62,4.08,-35.14
"03/09/2015 18:00","MHK VL",61756,37.29,1.03,-5.85
"03/09/2015 18:00","MILLWD",61759,68.86,3.19,-35.26
"03/09/2015 18:00","N.Y.C.",61761,68.85,3.31,-35.13
"03/09/2015 18:00","NORTH",61755,29.49,-0.91,0.00
"03/09/2015 18:00","NPX",61845,74.78,2.55,-41.83
"03/09/2015 18:00","O H",61846,35.00,-2.71,-7.30
"03/09/2015 18:00","PJM",61847,54.74,0.64,-23.70
"03/09/2015 18:00","WEST",61752,34.80,-2.04,-6.43
"03/09/2015 19:00","CAPITL",61757,92.56,2.20,-58.45
"03/09/2015 19:00","CENTRL",61754,39.23,-0.32,-7.65
"03/09/2015 19:00","DUNWOD",61760,79.77,3.26,-44.61
"03/09/2015 19:00","GENESE",61753,36.50,-1.63,-6.22
"03/09/2015 19:00","H Q",61844,30.50,-0.70,0.70
"03/09/2015 19:00","HUD VL",61758,78.40,3.00,-43.49
"03/09/2015 19:00","LONGIL",61762,80.94,4.40,-44.63
"03/09/2015 19:00","MHK VL",61756,40.49,1.15,-7.44
"03/09/2015 19:00","MILLWD",61759,80.01,3.32,-44.79
"03/09/2015 19:00","N.Y.C.",61761,79.95,3.42,-44.62
"03/09/2015 19:00","NORTH",61755,31.36,-0.54,0.00
"03/09/2015 19:00","NPX",61845,86.02,2.58,-51.53
"03/09/2015 19:00","O H",61846,36.08,-3.51,-7.69
"03/09/2015 19:00","PJM",61847,60.83,0.41,-28.51
"03/09/2015 19:00","WEST",61752,37.30,-2.78,-8.17
"03/09/2015 20:00","CAPITL",61757,80.34,2.22,-45.86
"03/09/2015 20:00","CENTRL",61754,38.10,-0.16,-6.00
"03/09/2015 20:00","DUNWOD",61760,70.52,3.26,-35.00
"03/09/2015 20:00","GENESE",61753,35.66,-1.48,-4.88
"03/09/2015 20:00","H Q",61844,31.46,-0.81,0.00
"03/09/2015 20:00","HUD VL",61758,69.45,3.07,-34.12
"03/09/2015 20:00","LONGIL",61762,71.47,4.19,-35.02
"03/09/2015 20:00","MHK VL",61756,39.29,1.19,-5.83
"03/09/2015 20:00","MILLWD",61759,70.75,3.36,-35.14
"03/09/2015 20:00","N.Y.C.",61761,70.72,3.45,-35.01
